representation_id,method,k,seed,silhouette,calinski_harabasz,davies_bouldin
R-EUCLID-robust,k-means,5,789,0.15111066171185153,15474.792655831692,1.9556988810428588
R-EUCLID-robust,k-means,5,999,0.15079048925183633,15474.795161669806,1.9556973499589834
R-EUCLID-robust,k-means,6,42,0.13822239584984106,13773.037775111789,2.088168584349905
R-EUCLID-robust,k-means,6,123,0.15233390080790496,14493.36897960496,1.861636143175965
R-EUCLID-robust,k-means,6,456,0.15186875289753668,14493.368164788544,1.8616550513525543
R-EUCLID-robust,k-means,6,789,0.1525867930096634,14493.368534277777,1.861631716944926
R-EUCLID-robust,k-means,6,999,0.1524573322784038,14493.368534277777,1.861631716944926
R-EUCLID-robust,k-means,7,42,0.13673329380499852,13261.057613688994,2.016387028102445
R-EUCLID-robust,k-means,7,123,0.1370713398551271,13265.706220861777,2.0030453089087
R-EUCLID-robust,k-means,7,456,0.136721456192697,13261.05988660855,2.016615181623424
R-EUCLID-robust,k-means,7,789,0.13623877618884653,13261.059086693514,2.0164979026800567
R-EUCLID-robust,k-means,7,999,0.1380390746736161,13261.068611305353,2.016768196575503
R-EUCLID-robust,k-means,8,42,0.13973755651719466,12320.530838279723,1.9942700599832452
R-EUCLID-robust,k-means,8,123,0.14082205516809035,12320.530509137103,1.9942577016824876
R-EUCLID-robust,k-means,8,456,0.13130542650405955,12220.97300778086,1.9857256972780912
R-EUCLID-robust,k-means,8,789,0.1341970315009748,12238.272286878917,2.0582856890263055
R-EUCLID-robust,k-means,8,999,0.124871434457942,12156.817114189962,2.0293920327355797
R-EUCLID-robust,ik-means,11,deterministic,0.13155265463618426,9510.729082241041,2.026705071353886
